,,,,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
78,,%,33.60%,56.90%,6.60%,37.20%,39.80%,49.60%,45.60%,22.40%,20.10%,61.80%,34.10%,32.90%,34.50%,20.30%,49.60%,43.50%,67.70%,52.20%,29.50%,25.80%,16.00%,41.40%,13.60%,49.70%,51.10%,70.70%,62.70%,15.30%,26.10%,26.40%,24.80%,21.40%,36.20%,40.50%,37.70%,32.30%,40.40%,20.50%,53.90%,29.70%,42.50%,29.10%,100.00%,56.70%,50.50%,46.80%,81.00%,46.30%,44.80%,39.50%,33.30%,65.80%
79,Males In Civilian Labor Force,Est.,139205,0.0018030961531554182,0.0008189361014331382,0.004453863007794261,0.001314607952300564,0.10177795337811142,0.007312955712797673,0.05124815918968428,0.0020976258036708452,0.0033116626557954097,0.18326927912072125,0.026478933946338136,0.0027154197047519844,0.001185302252074279,0.013713587873998779,0.007636219963363385,0.0014726482525771344,0.002780072554865127,0.0023275026040731296,0.009949355267411373,0.00031608060055314107,0.01813153263173018,0.19365683703889947,0.009503968966631946,0.007205200962609102,0.0006824467511942818,0.004863331058510829,0.000926690851621709,0.000833303401458281,0.008685032865198807,0.008412054164721095,0.08821522215437663,0.00326137710570741,0.06434395316260191,0.01336158902338278,0.0017456269530548472,0.014008117524514205,0.0010847311518982796,0.006364713911138249,0.024690205093207858,0.0030171330052799826,0.010789842318882224,0.0002298768004022844,0.003060234905355411,0.045479688229589456,0.007600301713300528,0.0,0.018138716281742753,0.012614489422075357,0.0003232642505657124,0.0027872562048776982,0.0
80,,%,38.40%,30.10%,35.80%,23.00%,37.10%,38.50%,36.30%,46.20%,37.20%,27.60%,35.00%,34.60%,37.00%,39.90%,36.60%,46.90%,28.80%,41.70%,33.20%,57.60%,11.70%,35.70%,44.00%,32.10%,41.40%,26.80%,36.90%,43.00%,33.00%,32.30%,49.40%,40.50%,43.70%,34.90%,33.70%,36.70%,43.90%,24.40%,43.30%,40.60%,33.50%,48.80%,37.60%,25.60%,34.60%,32.50%,0.00%,40.40%,39.70%,15.00%,30.30%,0.00%
81,Females In Civilian Labor Force,Est.,142827,0.002478522968346321,0.00037807977483248964,0.008660827434588698,0.0012112555749263095,0.1023475953426173,0.005370133098083696,0.03959335419773572,0.0024995274002814595,0.004796011958523249,0.2012504638478719,0.03075048835304249,0.004088862750040259,0.0006931462538595644,0.01465409201341483,0.004669985366912419,0.0021634564893192464,0.0025345347868400234,0.0014212998942776927,0.004557961729925014,0.0015753323951353735,0.02243273330672772,0.17907678520167755,0.011706470065183754,0.005839232077968452,0.001351285121160565,0.004711994230782695,0.0004130871613910535,0.0011062334152506178,0.009122924937161742,0.0043549188878853435,0.08434679717420376,0.003339704677686992,0.07348050438642553,0.011160354834870158,0.0013722895530957032,0.010978316424765626,0.00270257024232113,0.004179881955092525,0.024470163204436134,0.004803013435834961,0.007918670839547145,0.0,0.005006056277874631,0.049122364818976805,0.00891988209512207,0.0002870605697802236,0.01839288089786945,0.009059911641356326,0.000735155117729841,0.0036967800205843435,0.00021704579666309592
82,,%,39.40%,42.40%,17.00%,45.90%,35.10%,39.70%,27.30%,36.60%,45.40%,41.00%,39.40%,41.30%,57.20%,23.90%,40.10%,29.40%,43.50%,39.00%,20.80%,27.10%,59.80%,45.30%,41.80%,40.50%,34.40%,54.40%,36.70%,19.70%,44.90%,34.80%,26.20%,39.70%,46.00%,40.90%,28.90%,29.60%,35.30%,62.40%,29.20%,41.30%,54.80%,36.80%,0.00%,43.00%,38.30%,39.10%,32.50%,42.00%,29.20%,34.90%,41.20%,81.60%
83,Unemployed Males,Est.,922,0.0,0.0,0.0,0.0,0.1822125813449024,0.0,0.0,0.0,0.0,0.22234273318872017,0.0596529284164859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16052060737527116,0.0,0.0,0.17136659436008678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08459869848156182,0.0,0.02928416485900217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0368763557483731,0.05314533622559653,0.0,0.0,0.0
84,,%,0.30%,0.00%,0.00%,0.00%,0.00%,0.50%,0.00%,0.00%,0.00%,0.00%,0.30%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.20%,0.00%,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.50%,1.10%,0.00%,0.00%,0.00%
85,Unemployed Females,Est.,1631,0.0,0.0,0.015328019619865114,0.0,0.07112201103617413,0.0,0.025137952176578784,0.0,0.0,0.13733905579399142,0.03801348865726548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07050889025137952,0.31759656652360513,0.0,0.0,0.0,0.0,0.0,0.0,0.015328019619865114,0.0,0.11281422440220723,0.0,0.034334763948497854,0.0,0.0,0.039852851011649294,0.0,0.0,0.0,0.0,0.04414469650521153,0.0,0.011649294911097487,0.06315144083384426,0.0,0.0,0.0,0.003678724708767627,0.0,0.0,0.0
86,,%,0.50%,0.00%,0.00%,0.90%,0.00%,0.30%,0.00%,0.30%,0.00%,0.00%,0.30%,0.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.60%,0.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.70%,0.00%,0.60%,0.00%,0.20%,0.00%,0.00%,1.50%,0.00%,0.00%,0.00%,0.00%,2.30%,0.00%,1.10%,0.60%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%
87,Private Wage & Salary Workers,Est.,194908,0.0025293984854392842,0.0005694994561536725,0.0064851109241283065,0.0018265027602766433,0.10037043117778645,0.0063004083978081965,0.038495084860549596,0.002888542286617276,0.0036991811521333144,0.18559012457159274,0.023965152790034274,0.0029347179181973032,0.0008465532456338375,0.017172204322039118,0.006967389742853039,0.0017444127485788166,0.0033759517310731216,0.0016828452398054466,0.006531286555708334,0.0006823732222381841,0.017982843187555154,0.1893662651096928,0.013909126357050506,0.008388573070371663,0.0008362919941716092,0.004704783795431691,6.669813450448416e-05,0.0010723007778028607,0.009076076918340961,0.006787817842264042,0.08975516654011123,0.0034221273626531493,0.06878629917704764,0.012046709216656064,0.0004463644386069325,0.015386746567611386,0.002252344695959119,0.005315328257434276,0.027002483222853858,0.0034939561228887477,0.006787817842264042,0.0,0.004391815625833726,0.04873581381985347,0.008799023128860797,0.00021035565497568083,0.02097912861452583,0.011466948509040162,0.0003847969298335625,0.0034580417427709483,3.0783754386685003e-05
88,,%,53.80%,59.00%,34.90%,46.90%,72.20%,53.10%,43.70%,48.60%,71.60%,43.10%,49.60%,43.90%,56.00%,39.90%,64.20%,59.90%,47.80%,70.80%,33.60%,52.90%,35.40%,49.50%,60.30%,65.70%,67.50%,45.90%,50.00%,4.30%,59.40%,47.20%,55.80%,57.60%,64.30%,52.30%,42.60%,13.10%,67.50%,70.90%,50.70%,62.20%,54.40%,43.00%,0.00%,51.40%,51.90%,52.60%,32.50%,65.40%,50.50%,24.90%,52.60%,15.80%
89,Government Workers,Est.,19577,0.002349696071921132,0.0,0.01992133626194003,0.0,0.135618327629361,0.022015630586913214,0.034121673392246005,0.0,0.012872248046176636,0.1485927363743168,0.028043111814884815,0.006691525770036267,0.0013280890841293354,0.018542166828421105,0.013178730142514175,0.007866373805996833,0.0015834908310772846,0.006231802625529958,0.003166981662154569,0.0,0.03790161924707565,0.08157531797517495,0.009398784287684528,0.002298615722531542,0.0038821065536088265,0.01700975634673341,0.0033202227103233386,0.0,0.009654186034632476,0.013127649793124585,0.06257342800224754,0.009296623588905348,0.05358328650967972,0.019257291719875363,0.01460897992542269,0.007662052408438474,0.0028094192164274403,0.004954793890790213,0.009552025335853297,0.0039331869029984165,0.00868365939623027,0.0016345711804668743,0.007764213107217653,0.08755171885375695,0.016652193901006283,0.0,0.024876130152730245,0.010113909179138784,0.0036267048066608775,0.010573632323645095,0.0
90,,%,5.40%,5.50%,0.00%,14.50%,0.00%,7.20%,15.40%,4.30%,0.00%,15.10%,4.00%,5.20%,12.80%,6.30%,7.00%,11.40%,21.70%,3.30%,12.50%,2.60%,0.00%,10.50%,2.60%,4.50%,1.90%,21.40%,18.20%,21.70%,0.00%,5.00%,10.80%,4.00%,17.50%,4.10%,6.80%,43.20%,3.40%,8.90%,4.70%,2.20%,6.20%,5.50%,37.60%,9.10%,9.40%,10.00%,0.00%,7.80%,4.50%,23.60%,16.20%,0.00%
91,Self employed Not incorporated,Est.,46269,0.0,0.0007780587434351293,0.001642568458363051,0.0,0.10116924938944001,0.0013616028010114763,0.06998206142341525,0.0006267695433227431,0.0037390045170632605,0.17411225658648338,0.04214484860273617,0.004733190689230371,0.0015777302297434567,0.0020964360587002098,0.0009509606864207136,0.00043225485746396075,0.0012967645723918823,0.0,0.00782381292009769,0.002939333030754933,0.0209427478441289,0.24513172966781213,0.0021612742873198037,0.0018586958870950312,0.0008212842291815255,0.0015993429726166549,0.002377401716051784,0.0,0.010049925436037088,0.0037173917741900623,0.09085997103892456,0.001772244915602239,0.07646588428537465,0.010611856750740237,0.0,0.004689965203483974,0.0009293479435475156,0.0075644600056193135,0.026043355162203637,0.005813827832890272,0.016144718926278934,0.0,0.001685793944109447,0.028031727506537856,0.003911906460048845,0.0,0.008364131491927641,0.010633469493613434,8.645097149279215e-05,0.0003241911430979706,0.0
92,,%,12.80%,0.00%,11.30%,2.80%,0.00%,12.70%,2.20%,21.00%,3.70%,10.40%,11.10%,18.30%,21.40%,17.60%,1.90%,1.90%,2.80%,6.50%,0.00%,15.00%,36.20%,13.70%,18.50%,2.40%,3.50%,10.70%,4.00%,36.70%,0.00%,12.40%,7.30%,13.90%,7.90%,13.80%,8.90%,0.00%,4.90%,6.90%,17.10%,14.20%,21.50%,24.30%,0.00%,4.70%,7.10%,5.60%,0.00%,6.20%,11.10%,1.30%,1.20%,0.00%
93,Self employed Incorporated,Est.,17446,0.0037831021437578815,0.0012037143184684168,0.005846612403989453,0.0,0.08013298177232603,0.0036111429554052505,0.06987275020061905,0.0032672245786999885,0.0,0.3736099965608162,0.04075432763957354,0.0022927891780350797,0.0,0.011177347242921014,0.0037257824143070045,0.0,0.0,0.0,0.0062478505101455925,0.0,0.021666857732431502,0.11291986701822768,0.0,0.004069700791012267,0.0006305170239596469,0.0014903129657228018,0.0,0.0019488708013298177,0.0012037143184684168,0.0023501089074859567,0.06482861400894188,0.0,0.0757193626046085,0.013642095609308725,0.0,0.0013756735068210478,0.0,0.0,0.010317551301157859,0.004528258626619283,0.018399633153731516,0.0,0.0020635102602315717,0.03972257250945776,0.004528258626619283,0.0,0.007795483205319271,0.0026940272841912186,0.0,0.0011463945890175398,0.0014329932362719248
94,,%,4.80%,7.90%,6.60%,3.80%,0.00%,3.80%,2.20%,7.90%,7.30%,0.00%,8.90%,6.70%,3.90%,0.00%,3.70%,2.90%,0.00%,0.00%,0.00%,4.50%,0.00%,5.30%,3.20%,0.00%,2.90%,3.10%,1.40%,0.00%,9.70%,0.60%,1.70%,3.70%,0.00%,5.20%,4.30%,0.00%,0.50%,0.00%,0.00%,2.10%,6.30%,10.40%,0.00%,2.20%,3.80%,2.40%,0.00%,2.20%,1.10%,0.00%,1.60%,65.80%
95,Employment by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Professional, Scientific, & Technical Services Administration and Support Waste Management Services ",Est.,"2,864",0,0,0,0,106,0,204,17,0,708,151,0,0,41,0,0,0,0,0,0,114,314,0,0,0,0,0,0,28,0,108,0,314,47,0,0,0,56,110,15,53,0,23,277,67,0,72,12,27,0,0
97,,%,0.80%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,1.30%,2.20%,0.00%,1.00%,1.40%,0.00%,0.00%,0.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.60%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.70%,0.00%,0.40%,0.00%,1.20%,0.90%,0.00%,0.00%,0.00%,2.70%,1.30%,1.20%,1.70%,0.00%,1.40%,1.50%,2.10%,0.00%,1.20%,0.30%,9.00%,0.00%,0.00%
98,Construction,Est.,"33,963",0,78,0,0,830,134,"3,104",51,19,"6,564",523,32,0,26,65,0,5,0,569,0,777,"9,522",0,52,46,0,64,47,113,64,"4,985",152,"1,978",428,0,146,0,19,"1,736",175,773,0,3,597,10,0,163,92,0,15,6
99,,%,9.40%,0.00%,24.50%,0.00%,0.00%,2.30%,4.80%,20.10%,6.50%,1.10%,9.00%,4.90%,3.10%,0.00%,0.50%,2.90%,0.00%,0.50%,0.00%,23.60%,0.00%,11.00%,15.60%,0.00%,2.10%,13.00%,0.00%,21.30%,13.40%,3.00%,2.70%,16.40%,14.60%,7.70%,7.80%,0.00%,3.30%,0.00%,0.90%,20.50%,14.00%,25.10%,0.00%,0.20%,3.30%,0.30%,0.00%,2.60%,2.10%,0.00%,1.20%,15.80%
100,Other Services,Est.,"32,291",0,14,104,0,"3,289",125,"1,878",70,166,"5,388","1,495",31,0,287,49,0,59,6,49,76,710,"7,580",143,34,8,55,0,65,324,0,"3,695",0,"2,256",442,0,434,54,0,965,208,208,0,0,"1,206",114,0,317,383,4,0,0
101,,%,8.90%,0.00%,4.40%,3.90%,0.00%,8.90%,4.50%,12.20%,8.90%,9.90%,7.40%,14.00%,3.00%,0.00%,5.50%,2.20%,0.00%,6.40%,0.60%,2.00%,20.20%,10.00%,12.40%,3.50%,1.40%,2.30%,3.00%,0.00%,18.50%,8.60%,0.00%,12.20%,0.00%,8.80%,8.00%,0.00%,9.80%,8.70%,0.00%,11.40%,16.60%,6.80%,0.00%,0.00%,6.60%,3.50%,0.00%,5.10%,8.60%,1.30%,0.00%,0.00%
102,Arts Entertainment and Recreation & Accomodation and Food,Est.,"30,386",97,0,17,24,"3,875",86,"1,079",171,138,"5,391",639,179,0,118,310,126,174,45,250,89,185,"6,709",305,107,66,50,13,66,821,504,"2,132",58,"2,206",284,130,155,235,151,490,46,259,0,89,"1,308",78,0,533,373,34,191,0
103,,%,8.40%,11.60%,0.00%,0.60%,4.90%,10.50%,3.10%,7.00%,21.80%,8.30%,7.40%,6.00%,17.50%,0.00%,2.30%,13.70%,17.70%,18.70%,4.60%,10.40%,23.70%,2.60%,11.00%,7.40%,4.40%,18.60%,2.70%,4.30%,18.80%,21.90%,21.30%,7.00%,5.60%,8.60%,5.20%,19.60%,3.50%,38.00%,7.40%,5.80%,3.70%,8.40%,0.00%,5.30%,7.10%,2.40%,0.00%,8.50%,8.40%,11.30%,14.90%,0.00%
104,"Educational services, and health care and social assistance",Est.,"44,930",161,40,758,26,"5,382",416,"1,324",151,112,"6,987","1,135",142,71,"1,067",647,295,366,345,203,60,"1,154","6,856",562,433,74,633,65,35,281,132,"3,196",296,"3,530",712,177,631,55,338,488,366,301,32,435,"2,429",570,24,786,343,26,257,25
105,,%,12.40%,19.30%,12.60%,28.10%,5.30%,14.60%,14.80%,8.60%,19.20%,6.70%,9.60%,10.70%,13.90%,17.10%,20.50%,28.50%,41.50%,39.40%,35.30%,8.40%,16.00%,16.30%,11.20%,13.60%,17.90%,20.80%,34.50%,21.70%,9.90%,7.50%,5.60%,10.50%,28.50%,13.80%,12.90%,26.70%,14.20%,8.90%,16.50%,5.80%,29.20%,9.80%,37.60%,26.10%,13.30%,17.50%,19.00%,12.60%,7.70%,8.60%,20.10%,65.80%
106,Manufacturing,Est.,"18,842",0,0,104,82,"1,728",183,552,48,0,"2,577",626,68,127,601,408,31,85,41,92,0,54,"2,698","1,072",480,0,27,0,0,41,171,"1,170",79,890,438,0,858,13,234,217,16,228,0,229,"1,325",568,17,104,256,0,304,0
107,,%,5.20%,0.00%,0.00%,3.90%,16.60%,4.70%,6.50%,3.60%,6.10%,0.00%,3.50%,5.90%,6.70%,30.70%,11.50%,18.00%,4.40%,9.10%,4.20%,3.80%,0.00%,0.80%,4.40%,26.00%,19.80%,0.00%,1.50%,0.00%,0.00%,1.10%,7.20%,3.90%,7.60%,3.50%,7.90%,0.00%,19.30%,2.10%,11.40%,2.60%,1.30%,7.40%,0.00%,13.80%,7.20%,17.40%,13.50%,1.70%,5.80%,0.00%,23.70%,0.00%
108,Retail Trade,Est.,"22,481",45,0,138,40,"1,905",50,466,72,14,"6,469",511,158,0,318,12,0,0,0,123,0,411,"3,022",242,259,43,29,0,0,315,147,"2,501",74,"1,652",270,45,224,57,77,537,59,136,0,129,923,171,0,482,261,0,94,0
109,,%,6.20%,5.40%,0.00%,5.10%,8.10%,5.20%,1.80%,3.00%,9.20%,0.80%,8.90%,4.80%,15.50%,0.00%,6.10%,0.50%,0.00%,0.00%,0.00%,5.10%,0.00%,5.80%,4.90%,5.90%,10.70%,12.10%,1.60%,0.00%,0.00%,8.40%,6.20%,8.20%,7.10%,6.40%,4.90%,6.80%,5.00%,9.20%,3.80%,6.30%,4.70%,4.40%,0.00%,7.80%,5.00%,5.20%,0.00%,7.70%,5.90%,0.00%,7.30%,0.00%
110,Employment by Occupation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"Management, Professional and Related",Est.,"28,978",0,0,170,94,"4,081",316,958,22,269,"6,219",978,182,0,786,325,31,147,136,149,0,401,"2,499",803,388,11,100,0,57,114,26,"1,764",122,"2,137",349,0,484,38,340,698,47,253,0,176,"1,835",207,0,989,224,0,53,0
112,,%,8.00%,0.00%,0.00%,6.30%,19.10%,11.10%,11.30%,6.20%,2.80%,16.10%,8.50%,9.20%,17.80%,0.00%,15.10%,14.30%,4.40%,15.80%,13.90%,6.20%,0.00%,5.70%,4.10%,19.50%,16.00%,3.10%,5.50%,0.00%,16.20%,3.00%,1.10%,5.80%,11.80%,8.30%,6.30%,0.00%,10.90%,6.10%,16.60%,8.20%,3.80%,8.20%,0.00%,10.60%,10.00%,6.40%,0.00%,15.80%,5.10%,0.00%,4.10%,0.00%
113,Construction & Extraction Occupations,Est.,"20,252",0,78,0,0,307,108,"2,389",28,19,"2,954",283,0,0,26,0,0,0,0,449,0,643,"4,705",0,0,13,0,64,47,61,0,"3,656",82,"1,074",324,0,120,0,19,"1,679",148,563,0,3,303,10,0,59,38,0,0,0
114,,%,5.60%,0.00%,24.50%,0.00%,0.00%,0.80%,3.80%,15.50%,3.60%,1.10%,4.10%,2.70%,0.00%,0.00%,0.50%,0.00%,0.00%,0.00%,0.00%,18.70%,0.00%,9.10%,7.70%,0.00%,0.00%,3.70%,0.00%,21.30%,13.40%,1.60%,0.00%,12.00%,7.90%,4.20%,5.90%,0.00%,2.70%,0.00%,0.90%,19.80%,11.80%,18.30%,0.00%,0.20%,1.70%,0.30%,0.00%,0.90%,0.90%,0.00%,0.00%,0.00%
115,Sales & Office,Est.,"46,299",45,14,457,160,"4,649",178,"1,571",58,135,"13,081","1,396",139,0,"1,059",295,51,29,47,304,0,974,"6,215",441,213,135,102,0,45,636,128,"3,456",377,"3,414",574,45,431,56,208,658,105,124,0,154,"2,146",575,0,796,513,0,110,0
116,,%,12.80%,5.40%,4.40%,17.00%,32.50%,12.60%,6.30%,10.20%,7.40%,8.10%,17.90%,13.10%,13.60%,0.00%,20.30%,13.00%,7.20%,3.10%,4.80%,12.60%,0.00%,13.80%,10.20%,10.70%,8.80%,38.00%,5.60%,0.00%,12.80%,17.00%,5.40%,11.40%,36.30%,13.30%,10.40%,6.80%,9.70%,9.00%,10.20%,7.80%,8.40%,4.00%,0.00%,9.30%,11.70%,17.60%,0.00%,12.70%,11.60%,0.00%,8.60%,0.00%
117,Services Occupations,Est.,"56,515",47,19,322,0,"4,566",86,"3,734",88,127,"8,850","2,533",75,0,325,174,13,155,0,194,76,"1,284","16,377",207,44,38,139,13,4,516,338,"5,507",33,"3,812",423,8,768,0,103,"1,897",348,524,0,97,"1,275",46,0,758,508,38,26,0
118,,%,15.60%,5.60%,6.00%,11.90%,0.00%,12.40%,3.10%,24.20%,11.20%,7.60%,12.10%,23.80%,7.30%,0.00%,6.20%,7.70%,1.80%,16.70%,0.00%,8.10%,20.20%,18.10%,26.80%,5.00%,1.80%,10.70%,7.60%,4.30%,1.10%,13.80%,14.30%,18.10%,3.20%,14.90%,7.70%,1.20%,17.30%,0.00%,5.00%,22.40%,27.80%,17.00%,0.00%,5.80%,7.00%,1.40%,0.00%,12.10%,11.50%,12.60%,2.00%,0.00%
119,Maintenance & Repair Occupations,Est.,"5,689",0,0,0,24,197,0,169,0,0,"1,313",52,31,0,26,57,0,0,0,49,0,87,"1,485",14,13,0,0,0,34,177,129,498,0,595,66,0,83,0,0,135,0,25,0,44,353,0,0,9,24,0,0,0
120,,%,1.60%,0.00%,0.00%,0.00%,4.90%,0.50%,0.00%,1.10%,0.00%,0.00%,1.80%,0.50%,3.00%,0.00%,0.50%,2.50%,0.00%,0.00%,0.00%,2.00%,0.00%,1.20%,2.40%,0.30%,0.50%,0.00%,0.00%,0.00%,9.70%,4.70%,5.40%,1.60%,0.00%,2.30%,1.20%,0.00%,1.90%,0.00%,0.00%,1.60%,0.00%,0.80%,0.00%,2.60%,1.90%,0.00%,0.00%,0.10%,0.50%,0.00%,0.00%,0.00%
121,"Production, Transportation, and Material Moving Occupation",Est.,"6,811",97,0,0,0,344,24,216,0,0,"1,098",253,71,28,107,59,0,0,0,25,0,15,"1,750",291,57,0,0,0,0,0,20,641,0,272,85,0,206,14,31,113,0,118,0,33,110,356,17,49,258,0,53,0
122,,%,1.90%,11.60%,0.00%,0.00%,0.00%,0.90%,0.90%,1.40%,0.00%,0.00%,1.50%,2.40%,7.00%,6.80%,2.10%,2.60%,0.00%,0.00%,0.00%,1.00%,0.00%,0.20%,2.90%,7.10%,2.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.80%,2.10%,0.00%,1.10%,1.50%,0.00%,4.60%,2.30%,1.50%,1.30%,0.00%,3.80%,0.00%,2.00%,0.60%,10.90%,13.50%,0.80%,5.80%,0.00%,4.10%,0.00%
123,Population for whom poverty status is determined,Est.,"352,876",823,318,"2,491",493,"36,100","2,535","15,416",625,"1,393","72,115","10,464","1,021",276,"4,746","1,732",576,864,728,"2,398",376,"7,073","60,607","3,784","2,360",317,"1,666",215,239,"3,518","2,312","30,162","1,014","24,763","5,385",534,"4,205",605,"1,871","8,143","1,192","3,069",85,"1,522","17,717","3,205",126,"6,208","4,314",277,860,38
124,,%,97.40%,98.60%,100.00%,92.40%,100.00%,98.00%,90.30%,99.80%,79.50%,83.40%,98.90%,98.30%,100.00%,66.70%,91.00%,76.40%,81.00%,93.00%,74.50%,99.70%,100.00%,99.90%,99.00%,91.70%,97.40%,89.30%,90.80%,71.70%,67.90%,93.90%,97.50%,99.40%,97.70%,96.50%,97.70%,80.70%,94.60%,97.70%,91.50%,96.20%,95.20%,99.80%,100.00%,91.50%,96.80%,98.40%,100.00%,99.30%,97.40%,92.00%,67.10%,100.00%
125,Individuals Below Poverty,Est.,"33,256",70,42,126,0,"3,318",159,"1,010",24,417,"5,595",316,0,52,475,77,313,40,244,335,76,563,"7,088",685,296,0,85,77,79,191,72,"2,883",184,"2,151",391,521,740,208,51,"1,361",59,376,0,62,759,476,0,560,504,29,110,6
126,,%,9.80%,10.50%,13.20%,5.50%,0.00%,9.50%,6.30%,6.60%,4.40%,29.90%,8.20%,3.10%,0.00%,25.00%,10.60%,4.60%,56.20%,4.90%,42.70%,14.30%,20.20%,8.20%,12.00%,18.20%,13.10%,0.00%,5.10%,44.30%,33.10%,6.20%,3.30%,9.80%,18.10%,9.10%,7.80%,97.60%,18.70%,34.40%,2.80%,17.10%,5.20%,12.30%,0.00%,4.70%,4.50%,15.40%,0.00%,9.30%,11.90%,10.50%,14.70%,19.40%
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Earnings,Median,"$30,000 ","$22,000 ","$120,000 ","$40,000 ","$36,000 ","$38,000 ","$35,000 ","$25,800 ","$23,100 ","$50,000 ","$30,000 ","$29,000 ","$35,000 ","$32,000 ","$35,000 ","$24,000 ","$8,000 ","$45,000 ","$43,750 ","$35,000 ","$7,800 ","$35,000 ","$28,000 ","$41,000 ","$50,000 ","$15,000 ","$48,000 ","$11,000 ","$9,000 ","$34,000 ","$25,000 ","$25,500 ","$32,000 ","$37,000 ","$29,000 ","$9,500 ","$27,000 ","$14,000 ","$35,000 ","$26,000 ","$24,000 ","$24,000 ","$92,000 ","$32,000 ","$39,600 ","$22,000 ","$95,000 ","$45,000 ","$50,000 ","$27,000 ","$29,000 ","$74,000 "
129,Earnings (incl 0 and neg),Median,"$20,000 ","$5,700 ","$120,000 ","$12,000 ","$22,000 ","$20,000 ","$15,700 ","$20,000 ","$23,100 ","$19,100 ","$19,000 ","$15,500 ","$32,000 ",$0 ,"$12,500 ","$4,600 ","$8,000 ","$3,000 ",$0 ,"$20,000 ",$0 ,"$28,000 ","$24,000 ","$11,000 ","$23,400 ","$10,000 ","$26,000 ","$3,000 ","$1,000 ","$10,000 ","$23,400 ","$18,700 ","$13,000 ","$20,800 ","$10,000 ","$9,500 ","$18,000 ","$9,100 ","$20,000 ","$16,600 ","$20,000 ","$15,000 ",$0 ,"$5,100 ","$17,000 ","$6,500 ",$0 ,"$30,000 ","$12,500 ",$0 ,"$1,200 ","$74,000 "
