,,,,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
25,Age 50 to 54,Est.,32542,0.0006453198942904554,0.0004302132628603036,0.015241841312765042,0.0015979349763382705,0.0912359412451601,0.0027349271710405015,0.05073443549874009,0.0007067789318419273,0.00832769958822445,0.2584045233851638,0.030084198881445517,0.00221252535185299,0.0007989674881691353,0.005500583860856739,0.004824534447790548,0.002273984389404462,0.0,0.0,0.005500583860856739,0.0,0.019021572122180568,0.14393706594554728,0.0085428062196546,0.003994837440845676,0.0,0.017638743777272446,0.001966689201647102,0.0,0.008481347182103128,0.0015672054575625346,0.08244729887529961,0.0015364759387867986,0.05850900374900129,0.017608014258496712,0.0,0.012722020773154692,0.0017208530514412144,0.01266056173560322,0.01425849671194149,0.005377665785753795,0.007743838731485465,0.0,0.007190707393522218,0.0469854342081003,0.008020404400467088,0.0,0.01883719500952615,0.014412144305820171,0.0003072951877573597,0.003257328990228013,0.0
26,,%,9.00%,2.50%,4.40%,18.40%,10.50%,8.10%,3.20%,10.70%,2.90%,16.20%,11.50%,9.20%,7.10%,6.30%,3.40%,6.90%,10.40%,0.00%,0.00%,7.40%,0.00%,8.70%,7.70%,6.70%,5.40%,0.00%,31.30%,21.30%,0.00%,7.40%,2.20%,8.80%,4.80%,7.40%,10.40%,0.00%,9.30%,9.00%,20.10%,5.50%,14.00%,8.20%,0.00%,14.10%,8.40%,8.00%,0.00%,9.80%,10.60%,3.30%,8.30%,0.00%
27,Age 55 to 59,Est.,21249,0.0,0.0008941597251635371,0.009365146595133888,0.001129464915996047,0.11534660454609628,0.003200150595322133,0.048284625158831,0.0026824791754906114,0.001082403877829545,0.2457527413054732,0.03327215398371688,0.00578850769447974,0.000988281801496541,0.009976940091298413,0.012988846533954539,0.0,0.000941220763330039,0.0,0.0034825168243211445,0.0,0.014306555602616594,0.12922961080521436,0.00847098686997035,0.008188620640971339,0.0,0.0033883947479881405,0.0,0.0,0.010541672549296437,0.0046119817403171915,0.072285754623747,0.00432961551131818,0.08729822579886112,0.023248152854251965,0.0,0.004141371358652172,0.00578850769447974,0.0027766012518236154,0.011106405007294462,0.005364958350981223,0.01473010494611511,0.0,0.000941220763330039,0.05986164054779049,0.006823850534142783,0.0,0.017412584121605724,0.007812132335639324,0.0012235869923290508,0.000941220763330039,0.0
28,,%,5.90%,0.00%,6.00%,7.40%,4.90%,6.70%,2.40%,6.60%,7.30%,1.40%,7.20%,6.60%,12.00%,5.10%,4.10%,12.20%,0.00%,2.20%,0.00%,3.10%,0.00%,4.30%,4.50%,4.40%,7.20%,0.00%,3.90%,0.00%,0.00%,6.00%,4.10%,5.10%,8.90%,7.20%,9.00%,0.00%,2.00%,19.90%,2.90%,2.80%,9.10%,10.20%,0.00%,1.20%,6.90%,4.50%,0.00%,5.90%,3.70%,8.60%,1.60%,0.00%
29,Age 60 to 64,Est.,14285,0.0038501925096254812,0.0,0.0027301365068253414,0.0,0.1288064403220161,0.00168008400420021,0.03640182009100455,0.001400070003500175,0.0018900945047252364,0.24151207560378019,0.04536226811340567,0.0023101155057752886,0.0,0.00833041652082604,0.0006300315015750788,0.0,0.0032201610080504024,0.005530276513825691,0.00504025201260063,0.0,0.02807140357017851,0.08421421071053553,0.019320966048302416,0.0056002800140007,0.0,0.0,0.0,0.0023801190059502975,0.004130206510325516,0.0032201610080504024,0.09856492824641232,0.007070353517675884,0.0896044802240112,0.01239061953097655,0.0,0.011900595029751488,0.005320266013300665,0.0075603780189009455,0.0072103605180259015,0.0032901645082254113,0.0035701785089254463,0.0,0.0020301015050752536,0.07546377318865943,0.009310465523276164,0.0,0.018900945047252364,0.0075603780189009455,0.0,0.004620231011550577,0.0
30,,%,3.90%,6.60%,0.00%,1.40%,0.00%,5.00%,0.90%,3.40%,2.50%,1.60%,4.70%,6.10%,3.20%,0.00%,2.30%,0.40%,0.00%,5.00%,8.10%,3.00%,0.00%,5.70%,2.00%,6.70%,3.30%,0.00%,0.00%,0.00%,9.70%,1.60%,1.90%,4.60%,9.70%,5.00%,3.20%,0.00%,3.80%,12.30%,5.30%,1.20%,3.80%,1.70%,0.00%,1.70%,5.90%,4.10%,0.00%,4.30%,2.40%,0.00%,5.20%,0.00%
31,Age 65 to 69,Est.,8729,0.0048115477145148355,0.0,0.014778325123152709,0.0,0.1084889448963226,0.004124183755298431,0.057624011914308625,0.0,0.0033222591362126247,0.30759537174934126,0.01890250887845114,0.0,0.0,0.01752778096001833,0.0,0.0,0.0,0.0,0.00801924619085806,0.0,0.01729865964027953,0.09210677053499829,0.007675564211249857,0.0,0.0,0.002978577156604422,0.0,0.0,0.008477488830335663,0.003551380455951426,0.10425020048115477,0.0,0.07354794363615534,0.004696987054645435,0.0,0.013289036544850499,0.0061862756329476454,0.0019475312177798143,0.011456065986940085,0.01603849238171612,0.009050292129682667,0.0,0.0,0.0404399129338985,0.01626761370145492,0.0027494558368656202,0.007102760911902852,0.009737656088899073,0.0030931378164738227,0.0,0.002864016496735021
32,,%,2.40%,5.00%,0.00%,4.80%,0.00%,2.60%,1.30%,3.30%,0.00%,1.70%,3.70%,1.50%,0.00%,0.00%,2.90%,0.00%,0.00%,0.00%,0.00%,2.90%,0.00%,2.10%,1.30%,1.60%,0.00%,0.00%,1.40%,0.00%,0.00%,2.00%,1.30%,3.00%,0.00%,2.50%,0.70%,0.00%,2.60%,8.70%,0.80%,1.20%,11.20%,2.60%,0.00%,0.00%,1.90%,4.40%,19.00%,1.00%,1.90%,9.00%,0.00%,65.80%
33,Age 70 to 74,Est.,5768,0.0,0.0,0.0036407766990291263,0.0,0.11321081830790569,0.015603328710124827,0.05339805825242718,0.0,0.012135922330097087,0.2912621359223301,0.013696255201109571,0.0,0.0,0.005201109570041609,0.0,0.0,0.0,0.0,0.0,0.0,0.03311373092926491,0.07333564493758668,0.01542995839112344,0.005894590846047157,0.0048543689320388345,0.028952843273231624,0.0,0.0,0.0,0.017337031900138695,0.0611997226074896,0.0,0.10731622746185852,0.023231622746185853,0.0,0.006414701803051317,0.0,0.0,0.030686546463245493,0.0,0.009015256588072122,0.0,0.0036407766990291263,0.04628987517337032,0.0031206657420249652,0.0029472954230235784,0.014389736477115118,0.004680998613037448,0.0,0.0,0.0
34,,%,1.60%,0.00%,0.00%,0.80%,0.00%,1.80%,3.20%,2.00%,0.00%,4.20%,2.30%,0.70%,0.00%,0.00%,0.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.70%,0.70%,2.20%,1.40%,7.90%,9.10%,0.00%,0.00%,0.00%,4.20%,1.20%,0.00%,2.40%,2.40%,0.00%,0.80%,0.00%,0.00%,2.10%,0.00%,1.70%,0.00%,1.30%,1.50%,0.60%,13.50%,1.30%,0.60%,0.00%,0.00%,0.00%
35,Age 75 to 79,Est.,3809,0.0,0.0,0.0,0.014176949330532948,0.13520609083749016,0.005513258072985036,0.02021527960094513,0.0,0.0039380414807035965,0.3307954843791021,0.015489629824100813,0.0,0.0,0.0073510107639800475,0.006038330270412182,0.019952743502231557,0.0007876082961407193,0.0,0.0,0.0,0.016539774218955108,0.08059858230506695,0.010763980047256498,0.0,0.0,0.0,0.0,0.005513258072985036,0.009713835652402206,0.0,0.07771068521921765,0.0073510107639800475,0.07771068521921765,0.0,0.0,0.01680231031766868,0.0,0.014702021527960095,0.0,0.0,0.0,0.0,0.006300866369125755,0.062221055395116825,0.03885534260960882,0.0,0.012864268836965082,0.0,0.0,0.002887897085849304,0.0
36,,%,1.10%,0.00%,0.00%,0.00%,11.00%,1.40%,0.70%,0.50%,0.00%,0.90%,1.70%,0.60%,0.00%,0.00%,0.50%,1.00%,10.70%,0.30%,0.00%,0.00%,0.00%,0.90%,0.50%,1.00%,0.00%,0.00%,0.00%,0.00%,6.00%,1.00%,0.00%,1.00%,2.70%,1.20%,0.00%,0.00%,1.40%,0.00%,2.70%,0.00%,0.00%,0.00%,0.00%,1.40%,1.30%,4.50%,0.00%,0.80%,0.00%,0.00%,0.90%,0.00%
37,Age 80 to 84,Est.,2031,0.0,0.0,0.018217626784835055,0.0,0.06006893156080748,0.0,0.022156573116691284,0.0,0.0,0.310192023633678,0.0,0.0,0.0,0.0206794682422452,0.009847365829640572,0.0,0.0,0.0,0.0,0.05268340718857706,0.0,0.029542097488921712,0.015263417035942885,0.0,0.0,0.0,0.0,0.0,0.006400787789266372,0.0,0.11275233874938453,0.0,0.1309699655342196,0.07631708517971443,0.0,0.0,0.0,0.02117183653372723,0.013786312161496799,0.0,0.0,0.0,0.0,0.028557360905957656,0.029049729197439686,0.0,0.04037419990152634,0.0019694731659281144,0.0,0.0,0.0
38,,%,0.60%,0.00%,0.00%,1.40%,0.00%,0.30%,0.00%,0.30%,0.00%,0.00%,0.90%,0.00%,0.00%,0.00%,0.80%,0.90%,0.00%,0.00%,0.00%,0.00%,28.50%,0.00%,0.10%,0.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,0.80%,0.00%,1.00%,2.80%,0.00%,0.00%,0.00%,2.10%,0.30%,0.00%,0.00%,0.00%,0.00%,0.30%,1.80%,0.00%,1.30%,0.10%,0.00%,0.00%,0.00%
39,Age 85 and over,Est.,1917,0.0,0.0,0.0,0.0,0.16953573291601462,0.010954616588419406,0.0,0.0,0.03182055294731351,0.4856546687532603,0.0,0.0,0.0,0.02556077203964528,0.0,0.0,0.0,0.0,0.0,0.0,0.008868022952529996,0.0099113197704747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07876890975482524,0.001564945226917058,0.08294209702660407,0.03234220135628586,0.0,0.0,0.0,0.0,0.04538341158059468,0.0,0.0,0.0,0.0,0.005738132498695879,0.0,0.0,0.010954616588419406,0.0,0.0,0.0,0.0
40,,%,0.50%,0.00%,0.00%,0.00%,0.00%,0.90%,0.70%,0.00%,0.00%,3.70%,1.30%,0.00%,0.00%,0.00%,0.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.50%,0.30%,0.60%,1.10%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%
